,Date,New_deaths,joy,love,sadness,surprise,fear,anger,sentiment_label,Average rating,disease-related,NumberOfPost,illness_light illness,illness_no illness,illness_severe illness
159,2020-08-27,0,0.6598193983751116,0.0041044917811328754,0.03762534099486874,0.003078800070215892,0.13687085593451873,0.15850113908804594,0.023809523809523808,0.42206043190367165,0.33575370285714284,5,0.05238095238095238,0.692857142857143,0.20272108843537412
160,2020-08-28,0,0.6963947583326704,0.006399600825361147,0.031895327182774866,0.0026530698328444636,0.11568527524359518,0.14697199003283107,0.16666666666666669,0.5135449082768034,0.33689241857142854,1,0.05238095238095238,0.6850340136054422,0.2183673469387755
161,2020-08-30,0,0.6780411717951731,0.006628170827891444,0.032983822416004095,0.002713235393249638,0.12465118610832303,0.15498242354064823,0.19523809523809524,0.5383246639095957,0.33100702285714284,5,0.05238095238095238,0.6853741496598639,0.2258503401360544
162,2020-08-31,0,0.6492291561411029,0.0063988326860929335,0.10107187242967826,0.002631344908253799,0.09821505524679582,0.14245374978580952,0.23095238095238096,0.509794114276412,0.30934242428571423,4,0.05238095238095238,0.6938775510204082,0.22517006802721087
163,2020-09-01,0,0.6491797887555245,0.006415047364134749,0.11871661827345151,0.002848613126046753,0.1435458124056042,0.07929413314393186,0.23095238095238096,0.4861436022702782,0.30324277142857137,6,0.028571428571428574,0.6916909620991254,0.24198250728862974
164,2020-09-02,0,0.5571718799406274,0.006377452851475405,0.12041541966720523,0.002905205139090594,0.19101155464976768,0.12211849789905714,0.23095238095238096,0.4928330156411089,0.29690130571428563,3,0.0642857142857143,0.6789601554907678,0.26423712342079686
165,2020-09-03,0,0.5432094968995357,0.006120799763552194,0.12113651781276394,0.0027854205070026897,0.20318707573689085,0.12356069898814892,0.25476190476190474,0.5156930314101988,0.30909480285714286,6,0.0642857142857143,0.6577259475218659,0.2898931000971817
166,2020-09-04,0,0.5484760441025995,0.006178994483516738,0.12173111525563785,0.0031094882420715426,0.1981397704271893,0.12236459753836414,0.2785714285714286,0.5138954830817168,0.30495107571428576,6,0.03571428571428571,0.6257045675413023,0.3242954324586978
167,2020-09-05,0,0.5171629653585287,0.003527371532219923,0.12477304314130115,0.003336637489562742,0.20085018419700815,0.15034981415568227,0.1357142857142857,0.4338337610005623,0.32521799285714287,1,0.03571428571428571,0.6038872691933916,0.34849368318756074
168,2020-09-07,0,0.4892849701995839,0.003116786298743912,0.18350150775430452,0.0028009514032981677,0.1798412925581076,0.1414545016665388,0.10714285714285714,0.4416879958428797,0.3389806971428571,2,0.03571428571428571,0.5895529640427599,0.3652089407191448
169,2020-09-08,0,0.5397310759068378,0.003507497822976669,0.11695658761475762,0.0029968281811479642,0.18872356357695974,0.1480844510314498,0.07142857142857142,0.4399582939710291,0.33868245714285716,1,0.03571428571428571,0.5765792031098155,0.3805636540330418
170,2020-09-09,0,0.5679599390936173,0.0036754701081441127,0.09916178167221089,0.0029752775109261587,0.16979662746834076,0.15643091079324392,0.047619047619047616,0.4551468118191475,0.3412270471428572,5,0.03571428571428571,0.5815840621963071,0.3745383867832847
171,2020-09-10,0,0.6785906124277972,0.003723894131170275,0.0961320038707483,0.002940711800640925,0.12099674265232996,0.09761605115463243,0.047619047619047616,0.46845135158903545,0.33446843285714284,1,0.0,0.5927113702623906,0.37259475218658894
172,2020-09-11,0,0.711935148707458,0.0037383814760860367,0.09238935012170776,0.00290019577445313,0.10246460913317382,0.08657233164523769,0.09523809523809523,0.491098342912183,0.32802407714285714,2,0.0,0.6038386783284742,0.3706511175898931
173,2020-09-12,0,0.6433185949710951,0.0033330444770399126,0.18442706429687813,0.002448559160152999,0.0958787657599064,0.07059399165224191,0.07142857142857142,0.47440297252010727,0.3256827814285714,3,0.04081632653061224,0.6137998056365402,0.35996112730806606
